County,Name,Web Address,Physical Address,Phone Number,Email Address,Ages listed,Age categories,ABA Services (Yes or No),Early Intervention,Speech Therapy,Physical Therapy,Occupational Therapy,Community Transitions,Community Living,Parenting Education,Advocacy Support,IEP Support Services,In-School Services,Support Groups,Residential Services,Medical Provider,Hospital Treatments,Mentorship,Referrals,Other (List the other services)
Currituck,North Carolina Infant-Toddler Program (NC ITP),https://beearly.nc.gov/index.php/contact/cdsa,"1417 Parkview Drive, PO Box 189, Elizabeth City, NC 27909",252-338-4044,N/A,0-3,"infants, toddlers, preschoolers",No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,
Currituck,Autism Society of Eastern NC Social Recreation Program Summer Day Camp,https://www.autismsociety-nc.org/wp-content/uploads/EASTERN-NC-SOCIAL-RECREATION-PROGRAM-FAQ-6-24-18.pdf,"101 N Church St Richlands, NC 28574, 50 College Rd Bolivia, NC 28422, 705 S Kerr Avenue Wilmington, NC 28403, 113 Roberts Road, Newport, NC 28510, 4882 Reedy Branch Road, Winterville, NC 28590",252-658-3020,,4-22,"Preschool, children, adolescents, young adults",No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,
Dare,Outer Banks Hospital - Outpatient Rehabilitation Services,https://www.vidanthealth.com/Locations/Hospitals/The-Outer-Banks-Hospital,"4800 S Croatan Hwy Nags Head, NC 27959",252-449-4500,,0+,"infants, toddlers, preschoolers, children, adolescents, adults",No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,"Emergency Services, Pain Management, Rehabilitation Therapy"
Dare,Sentara Therapy Center,https://www.sentara.com/albemarle-north-carolina/default.aspx,"5136 North Croatan Highway Kitty Hawk, NC 27949",252-255-9111,,,,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,"Childbirth, Clinical Trials & Research, CT Scans, Diagnostic Imaging, Emergency Services, Family Medicine, Home Care, General Surgery, Internal Medicine, Maternity, Neurosciences, Pediatrics, Rehabilitation"
Dare,Children & Youth Partnership for Dare County Family Support Network,http://darekids.org/our-services,"534 Ananias Dare Street Manteo, NC 27954",252-441-0614,familysupport@darekids.org,,,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,"Child Care Resource, Day Care Assistance Program, Baby Links, Annual Events, Early Learning Centers, Reading Program"
Dare,Autism Society of NC - Outer Banks Chapter,https://www.autismsociety-nc.org/events/outer-banks-chapter-meeting-12/,"109 Veterans Drive Kill Devil Hills, NC 27948",252-756-1316,tfetzer@autismsociety-nc.org,,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,
Dare,Surfing for Autism,http://www.surfingforautism.org/,"P.O. Box 1184 Kitty Hawk, NC 27949",252-207-1341,,,,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Surfing Therapy
Dare,Albemarle Psychological Services,http://www.albemarlepsychological.com/home.html,"6365 North Croatan Highway Suite A., Kitty Hawk NC 27949",252-338-8821,DrAllenOBX@gmail.com,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Family/Couples Counseling, Psychological Assessments, Stress Management"
Dare,Surf Pediatrics and Medicine,https://ehr.wrshealth.com/live/patient_v2/index.php?id=983283,"5107 N Croatan Hwy Kitty Hawk, NC 27949-3989",252-255-5321,,,,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,"Parenting Enrichment Cllasses, Online Services, Community Outreach"
Dare,North Carolina Infant-Toddler Program (NC ITP),https://beearly.nc.gov/index.php/contact/cdsa,"1417 Parkview Drive, PO Box 189, Elizabeth City, NC 27909",252-338-4044,N/A,0-3,"infants, toddlers, preschoolers",No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,
Dare,Autism Society of Eastern NC Social Recreation Program Summer Day Camp,https://www.autismsociety-nc.org/wp-content/uploads/EASTERN-NC-SOCIAL-RECREATION-PROGRAM-FAQ-6-24-18.pdf,"101 N Church St Richlands, NC 28574, 50 College Rd Bolivia, NC 28422, 705 S Kerr Avenue Wilmington, NC 28403, 113 Roberts Road, Newport, NC 28510, 4882 Reedy Branch Road, Winterville, NC 28590",252-658-3020,,4-22,"Preschool, children, adolescents, young adults",No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,
Davidson,A Bridge to Achievement BCBA,https://ABridgeToAchievement.com,"1420 Plaza Drive Winston-Salem, NC 27103",336-560-7878,Info@abta-aba.com,0-19,"infants, toddlers, preschoolers, children, adolescents, teens, young adults",Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,
Davidson,Davidson County Schools Exceptional Children's Department,https://www.davidson.k12.nc.us/apps/pages/index.jsp?uREC_ID=800308&type=d&pREC_ID=1189830,N/A,336-242-5508,kgreen@davidson.k12.nc.us,0+,"infants, toddlers, preschoolers, children, adolescents, adults",Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,
Davidson,Smart Start of Davidson County,http://partnershipforchildren.org/,"803 W. Center Street Lexington, NC 27292",336-249-6688,billp@partnershipforchildren.org,0-5,"infants, toddlers, preschoolers, children",No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,
Davidson,Autism Society - Davidson County Chapter Meeting,https://www.autismsociety-nc.org/events/davidson-county-chapter-meeting-4/,"602 S. Main St. Lexington, NC 27292",N/A,N/A,0+,"infants, toddlers, preschoolers, children, adolescents, adults",No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,
Davidson,The Arc of Davidson County,http://www.arcdavidson.org/,"1900 S. Main St. Lexington, NC 27292",336-248-2842,teresamckeon@arcdavidson.org,0+,"infants, toddlers, preschoolers, children, adolescents, adults",No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,"Respite Care, Volunteering Opportunities"
Davidson,TEACCH - Greensboro Center,https://teacch.com/regional-centers/greensboro-teacch-center/,"925 Revolution Mill Drive, Suite 7 Greensboro, NC 27405",336-334-5773,vmatier@unc.edu,0+,"infants, toddlers, preschoolers, children, adolescents, adults",Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,"Consultation, Parent Education"
Davidson,Cardinal Innovations Healthcare,https://www.cardinalinnovations.org/,"4855 Milestone Ave., Kannapolis, NC 28081",704-939-7590,,,,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,
Davidson,North Carolina Infant-Toddler Program (NC ITP),https://beearly.nc.gov/index.php/contact/cdsa,"3325 Silas Creek Parkway, Winston-Salem, NC 27103",336-716-2372,N/A,0-3,"infants, toddlers, preschoolers",No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,
Davie,TEACCH - Greensboro Center,https://teacch.com/regional-centers/greensboro-teacch-center/,"925 Revolution Mill Drive, Suite 7 Greensboro, NC 27405",919-966-1000,vmatier@unc.edu,0+,"infants, toddlers, preschoolers, children, adolescents, adults",Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,"Consultation, Parent Education"
Davie,Camp Au-Some,https://www.daviefoundation.org/,"P.O. Box 546 107 N. Salisbury St Mocksville, NC 27028",336-753-6903,info@daviefoundation.org,,,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,"Grants, Scholarships"
Davie,Davie County Schools Department of Exceptional Children,https://www.godavie.org/departments/exceptional-children,"220 Martin Luther King Rd, Mocksville, NC 27028",336-751-2491,N/A,0+,"infants, toddlers, preschoolers, children, adolescents, adults",Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,
Davie,Autism Society - Davie/Forsyth County Chapter Meeting,https://www.autismsociety-nc.org/events/davieforsyth-chapter-meeting/,"4403 Country Club Road Winston-Salem, NC 27104",N/A,N/A,,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,
Davie,Davie County Autism Awareness Group,https://www.facebook.com/Davie-County-Autism-Awareness-148531375316158/,N/A,N/A,N/A,,,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,
Davie,Cabarrus Vocational Opportunities,http://www.cabarrusvocopp.org/,"107 Commercial Park Dr, Concord SW, NC 28027",704-793-1314,,18+,Adults,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,
Davie,Cardinal Innovations Healthcare,https://www.cardinalinnovations.org/,"650 Highland Avenue, Suite 130, Winston-Salem, NC 27101",336-714-9100,,,,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,
Davie,North Carolina Infant-Toddler Program (NC ITP),https://beearly.nc.gov/index.php/contact/cdsa,"3325 Silas Creek Parkway, Winston-Salem, NC 27103",336-716-2372,N/A,0-3,"infants, toddlers, preschoolers",No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,
Duplin,Vidant Duplin Hospital,https://www.vidanthealth.com/Locations/Hospitals/Vidant-Duplin-Hospital,401 N Main St Kenansville NC 28349 ,910-296-0941,,0+,"Infants, toddlers, preschoolers, children, adolescents, adults",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,"Rehabilitation, Wellness, Prevention, Neurological Care, Behavioral Health"
Duplin,Stepping Stones ABA,https://steppingstonesaba.com/,"4929 Darcy Woods Lane, Fuquay-Varina, NC 27526",919-810-1459,info@steppingstonesaba.com,0+,"Toddlers, preschoolers, children, adolescents, young adults",Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,"Communication Skills, Social Skills, Self-Help Skills, Safety Skills"
Duplin,North Carolina Infant-Toddler Program (NC ITP),https://beearly.nc.gov/index.php/  ,"3311 Burnt Mill Drive Wilmington, NC 28403 (Suite 100)",910-945-6169,tawnya.rayman@dhhs.nc.gov,0-3,"Infants, toddlers",No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,"Assistive Technology, Vision Services, Nursing Services, Transportation, Nutrition Services, Audiology Services, Evaluations & Assessments"
Durham,Triangle Center for Behavioral Health,http://www.trianglecbh.com/,"5015 Southpark Dr, Durham,NC, 27713",919-794-5477,triage@trianglecbh.com,,"Children, adolescents, adults",Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,"Family Therapy, Outpatient Therapy for OCD, Peddiatric Biofeedback, Neuropsychological Evaluations, Early Kindergarten Entry Evaluations, Giftedness Testing, Learning Disorder Testing/Learning Disability Testing, ADD/ADHD Evaluations"
Durham,AHB Center for Behavioral Health and Wellness,www.ahbwellness.com,"3326 Durham-Chapel Hill Boulevard Service Rd, Durham, NC, 27707",919-401-8090,,,"Children, adolescents, adults",No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,"Family/Group/Play Therapy, Medication Management, Psychological Testing & Evaluation, Christian Counseling, Behavior Plans, Vocational Assessments & Planning"
Durham,Behavioral Health Solutions,https://behavioralhealthsolutions.com/index.html,"5318 Highgate Drive, Suite 131, Durham, NC 27713",919-419-0524,,10+,"Children, adolescents, adults",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Psychotherapy, Life Transition Therapy"
Durham,Greenleaf Psychological and Support Services,https://www.turntogreenleaf.com/,"5850 Fayetteville Rd (at Sutton Station), Suite 210,Durham, NC 27713",919-294-8981,info@turntogreenleaf.com,,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,"Individual/Group/Family/Couples Therapy, Evaluation, Mental Health Coaching, Case Management, Spiritual/Wellness Goals Incorporated"
Durham,Bully City Safe Space Counseling,https://www.bullcitysafespace.com/,"3500 Westgate Dr, suite 504, Durham, NC 27707",919-887-9502,lauren@bullcitysafespace.com,,"children, adolescents, adults",No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,"Play Therapy, Dialectical Behavioral Therapy, Life Changes, Self-Care Issues, Parenting Skills, Communication/Social Skills/Couples Counseling"
Durham,Caring Hands,http://www.caringhandsnc.com/index.html,"2206 S. Page Rd., Suite 102, Durham, NC 27703",919-479-6806,lp.hinton@caringhandsnc.com,,,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,"Early Head Start, Health Education, Community Service, Childcare Services, Crisis Services, Employment/Financial Assistance, Legal Assisance, Senior Resources, Transportation"
Durham,Healthy Families Durham,https://www.ccfhnc.org/programs/healthy-families-durham/,"1121 W Chapel Hill Suite 100, Durham, NC 27701",919-419-3474,,0-5,"infants, toddlers, preschoolers, children",No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,"Parent-Child Interaction Therapy, Child-Parent Psychotherapy"
Durham,"Little Steps, Big Leaps",https://littlestepsbigleapsaba.com/,"3001 Academy Road Suite 200 Durham, NC 27707",984-365-9330,laurie@littlestepsbigleapsaba.com,2-18,"Toddlers, preschoolers, children, adolescents",Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,"Pre-K & Kindergarten Readiness, Social Skills Camps"
Durham,Access Family Serivces,accessfamilyservices.com,"522 S Duke St, Durham, NC 27701",919-908-6374,info@accessfamilyservices.com,,,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,"Crisis/Medication Management, Outpatient Therapy, Day Treatment, Respite Care, Therapeutic Foster Care, Family Centered Treatment, Day Treatment"
Durham,CDSA - North Carolina Infant-Toddler Program,https://beearly.nc.gov/,"115 Market St # 201, Durham, NC 27701",919-560-5600,,0-3,"infants, toddlers, preschoolers",No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,
Durham,Hill Center,https://www.hillcenter.org/,"3200 Pickett Road,Durham, NC 27705",919-489-7464,info@hillcenter.org,,"Children, adolescents, young adults",No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,"Year-Round Tutoring Programs, Small Group Instruction"
Durham,Embrace: A therapeutic educational program,http://www.embraceautismnow.com/,"5501 Fortunes Ridge Dr Suite H Durham, NC 27713",919-213-9845,,0-30,"infants, toddlers, preschoolers, children, adolescents, adults",Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,"Play Therapy, Independent Skills, Sensory Integration, Touch Math, Social Narratives, Guided Peer Play, Flexibility/Transition Training, Self-Management"
Durham,Tarheel Speech and Language Services,https://www.tarheelspeech.com/,,919- 265-4745,tarheelspeech@gmail.com,,,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"Screenings, Evaluations, Treatment"
Durham,Developmental Therapy Associates,https://www.developmentaltherapy.com/,"3624 Shannon Rd Suite 104 Durham, NC 27707",919-493-7002,,,,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,"Feeding Therapy, Bike Riding Clinic, Feeding Therapy, Integrated Listening, Handwriting Programs, Therapeutic Listening, Reading Therapy"
Durham,Emerge - A Child's Place,https://www.emergeachildsplace.com/,"3905 University Dr, Durham, NC 27707",919-928-0204,info@emergepets.com,0+,"infants, toddlers, preschoolers, children, adolescents, adults",No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,"Feeding Therapy, Therapeutic Group Programs, Child-Directed Interaction Therapy, Aquatic Therapy, Orofacial Myofuctional Therapy, Customized Interventions"
Durham,Duke Speech Pathology and Audiology,https://www.dukehealth.org/locations/duke-speech-pathology-and-audiology-clinic?utm_source=google&utm_medium=organic&utm_campaign=Directory%20Management,"40 Duke Medicine Circle, Clinic 1I, Durham, NC 27710",919-684-3859,,,"Children, adolescents, adults",No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Medical Facility
Durham,Talk About It,http://www.talkaboutitslp.com/,,919-523-2154,talkaboutit@nc.rr.com,,,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,"Free Speech & Language Screenings, Standardized Language/Fluency/Articulation Assessments, Caregiver Involvement"
Durham,Duke Physical Therpay and Occupational Therapy,https://www.dukehealth.org/locations/duke-physical-therapy-and-occupational-therapy-page-road?utm_source=google&utm_medium=organic&utm_campaign=Directory+Management,"4709 Creekstone Dr Suite 250, Durham, NC 27703",919-660-5049,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Medical Facility
Durham,Triangle Therapy,http://www.triangletherapy.com/,"3602 Trail Twenty Three, Durham, NC 27707",919-489-7771,,,"Children, adolescents, adults",No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,
Durham,BodyMap Skills,https://bodymapskills.com/,"3710 Knollwood Dr, Durham, NC 27712",919-612-6686,joanna@bodymapskills.com,,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"Sensory Experience, Awareness & Wellness Training"
Durham,The Gathering Space,,"2216 S Miami Blvd, Durham, NC 27703",919-504-1022,mail@thegatheringspaceonline.com,,"infants, toddlers, preschoolers, children, adolescents, adults",No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,"Individual/Couples/Family/Group Therapy, Personality Testing, Vocational Assessment, Early Entry Assessment, Workshops/Trainngs, Clinical Supervision, Peer/Interdisciplinary Consultation"
Durham,Central Park School for Children,http://www.cpscnc.org/,"724 Foster St, Durham, NC 27701",919-682-1200,info@cpsfc.org,,"children, adolescents",Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,
Durham,Hope Creek Academy,https://hopecreekacademy.org,"4723 Erwin Rd, Durham, NC 27705",919-932-0360,justrightacademy@gmail.com,,"Children, adolescents, young adults",No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,"Private Institutiton, Individualized Learning"
Durham,Wright School,https://www.ncdhhs.gov/divisions/state-operated-healthcare-facilities/facilities/wright-school,"3132 N Roxboro Rd, Durham, NC 27704",919-560-5790,wrightschoolinfo@dhhs.nc.gov,6-12,"Children, adolescents",Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,"Mental Health Treatment Program, Self-Contained Classrooms, In-Home Meetings & Monthly Workshops, Structured Daily Activities, Group Meetings for Planning/Problem Solving/Evaluation, Board-Certified Specialists,"
Durham,Durham's Partnership for Children,http://dpfc.net/,"1201 S Briggs Ave Suite 100, Durham, NC 27703",919-403-6960,,0-5,"infants, toddlers, preschoolers, children",No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,"Early Head Start, Early Childhood Training Institute"
Durham,Voyager Academy Elementary School,https://www.voyageracademy.net/,"4210 Ben Franklin Blvd Durham, NC 27704",919-433-3301,,,"Children, adolescents, young adults",No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,"Private Institutiton, Individualized Learning"
Durham,Carolina Partners,https://www.mindpathcare.com/,"1502 W, NC-54 103, Durham, NC 27707","919-354-0850, 919-923-7414",,,,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,"Psychotherapy & Counseling, Telehealth, Interventional Psychiatry, Neuropsychiatric Testing, Clinical Trials"
Durham,Copeland Psychological Services,lindseycopeland.com,"1316 Broad Street Durham, NC 27705",919-358-9624,lindsey.y.copeland@gmail.com,,"Toddlers, preschoolers, children, adolescents, adults",No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,"Child Behavior/Relationship Issues, Identitiy Development, Adjusting to New Environments, Career Exploration"
Durham,Change for Living Counseling,changeforlivingcounseling.org,"1910 Sedwick Rd suite 300-d, Durham, NC 27713",919-807-1454,ChangeForLiving@yahoo.com,,,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,"Psychotherapy, Family Therapy"
Durham,Duke Child Development & Behavioral Health,https://www.dukehealth.org/locations/duke-child-development-and-behavioral-health-clinic?utm_source=google&utm_medium=organic&utm_campaign=Directory+Management,"411 Trent Dr, Durham, NC 27705",919-668-5559,,0-24,"infants, toddlers, preschoolers, children, adolescents, adults",No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Medical Facility
Durham,Duke ADHD Program,https://www.dukehealth.org/locations/duke-adhd-clinic?utm_source=google&utm_medium=organic&utm_campaign=Directory+Management,"2608 Erwin Rd 300, Durham, NC 27705",919-681-9185,,,"children, adolescents, adults",No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Medical Facility
Durham,Duke Children's Evaluation Center,https://www.dukehealth.org/locations/duke-childrens-evaluation-center?utm_source=google&utm_medium=organic&utm_campaign=Directory+Management,"2608 Erwin Rd 300, Durham, NC 27705",919-285-3232,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Medical Facility
Durham,Duke Autism Clinic,https://www.dukehealth.org/locations/duke-autism-clinic,"2608 Erwin Rd 300, Durham, NC 27705",919-285-3232,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Medical Facility
Durham,One Love Christian Chruch-Buddy Break,https://www.carolinaparent.com/listings/special-needs-resources/one-love-christian-church-buddy-break/,1315 Horton Rd Durhamn NC 27704,919-688-2163,,4-22,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Free Respite Care
Durham,Lepage Associates,https://www.lepageassociates.com,"5842 Fayetteville Road, #106, Durham, NC 27713",919-572-0000,,,"children, adolescents, adults",No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,"Therapy/Counseling, Teletherapy, Psychiatry, Psychological& Educational Testing"
Durham,Mi Esculetia Spanish Immerison Preschool,http://www.miescuelitanc.org/,"201 Culbreth Rd Chapel Hill, NC 27516",919-969-7949,miescuelitanc@gmail.com,1-5,,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,"Specialized Classrooms, Individualized Instruction"
Durham,Child Care Services Association (Chapel Hill),http://www.carolinaparent.com/CP/Special-Needs-Resources/index.php/category/Child%2BCare/,"1829 E, Franklin St Building 100 Chapel Hill NC 27514",919-967-3272,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Child Care
Durham,Stepping Stones ABA,https://steppingstonesaba.com/,"4929 Darcy Woods Lane, Fuquay-Varina, NC 27526",919-810-1459,info@steppingstonesaba.com,,"Toddlers, preschoolers, children, adolescents, young adults",Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Individualized Therapeutic Programs
Edgecombe,Speech Play Inc.,https://speechplayinc.com/,"2023 Joelene Dr, Rocky Mount, NC 27803",252-883-7968,carol@speechplayinc.com,,,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,"Speech & Language Screening, Feeding Therapy, Clinical Examinations, Intervention Consultations"
Edgecombe,Kathy Bennett,Contracted OT Therapist,"301 S Church St, Rocky Mount, NC 27804",252-212-3909,,,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,
Edgecombe,Primary Health Choice,primaryhealthchoice.org,"3705 Sunset Ave, Rocky Mount, NC 27804",252-443-2748,,,,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,"In-Home Assistance, Respite Care, Medication Management, Clinical Assessments, Outpatient Therapy, Developmental Therapy, Personal Assistance"
Edgecombe,Developmental Evaluation Centers,https://nciom.org/wp-content/uploads/2017/08/psyc_chap11.pdf,"111 Medical Arts Mall, Rocky Mount, NC 27804",252-443-8858,,0-5,"Infants, toddlers",No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,"Evaluations, Case Management & Treatment"
Edgecombe,Tri County Industries,https://tciworks.com/,"1250 Atlantic Avenue, Rocky Mount, NC 27801",252-977-3800,,21+,Adults,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,"Community Outreach, Vocational Programs, Employment Coaching, Work Training"
Edgecombe,Association for Learning Disabled and Handicapped,http://aldhrockymountnc.com/,"3027 Sunset Avenue, Suite 2, Rocky Mount, NC 27804",252-972-9896,rmaldh@centurylink.net,5-18,"Children, adolescents",No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,"Tutoring Program, Summer School"
Edgecombe,Harrison Family YMCA,https://www.harrisonfamilyy.org/programs/our-programs/swimming-aquatics,"1000 Independence Dr., Rocky Mount, NC 27804",252-972-9622,marketing@rmymca.org,5-12,Children,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,"Before/After School Care, Group Exercise, Water Fitness, LesMills, Summer Camp, Youth-Centered Fitness Activities, Medical Exercise Training, Virtual/Live Fitness Classes, Community Outreach"
Edgecombe,Rocky Mount Mayor Commission For Persons with Disabilities,https://rockymountnc.gov/human-relations/,"331 S. Franklin St., PO Box 1180, Rocky Mount, NC 27802-1180",252-972-1111,citybeat@rockymountnc.gov,0+,"Infants, toddler, preschool, children, adolescents, adults",No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Community Outreach
Edgecombe,The Beacon Center,,"500 Nash Med Arts Mall Rocky Mount, NC 27804",252-407-2474,,21+,Adults,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Mental Health Services
Edgecombe,Eastepointe,http://www.eastpointe.net/,"809 Tiffany Boulevard Rocky Mount, NC 27804",252-442-0333,,0+,"Infants, toddler, preschool, children, adolescents, adults",No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Whole Person Care
Edgecombe,North Carolina Infant-Toddler Program (NC ITP),https://beearly.nc.gov/index.php/contact/cdsa,"141 Storage Drive, Rocky Mount, NC 27804",252-443-0318,N/A,0-3,"infants, toddlers, preschoolers",No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,
Edgocombe,Winter Assistance for Rocky Mount Program,"https://www.rockymountnc.gov/departments/business_services_center/utility_assistance/warm#:~:text=The%20Winter%20Assistance%20for%20Rocky%20Mount%20Program%20(WARM)%20assists%20low,Army%20from%20January%20to%20May.","331 S. Franklin St., PO Box 1180, Rocky Mount, NC 27802-1180",,,,,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Community Outreach
Forsyth,A Bridge to Achievement BCBA,https://ABridgeToAchievement.com,"1420 Plaza Drive, Winston-Salem, NC",336-560-7878,Info@abta-aba.com,0-19,"infants, toddlers, preschoolers, children, adolescents, teens, young adults",Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,"Social skills, caregiver training"
Forsyth,Family Support Network of Greater Forsyth,https://www.thecfec.org/familysupportnetwork/,"2315 Coliseum Drive, Winston-Salem, NC 27106",336-727-2440,Contact form on page,0-21,"infant, toddlers, preschoolers, children, adolescents, adults",No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,"Sibling Support Groups for Siblings of Exceptional Children, Family Support Groups"
